item_code,item_name,sale_rate,purchase_rate,total_per_margin,store_per,sukhjeet_per
Chowdry Mix Nam600g,Chowdry Mix Nam600g,90,65,27.77777778,15,12.77777778
Clip Rose Plastic,Clip Rose Plastic,22,16,27.27272727,15,12.27272727
Comb ,Comb ,20,13,35,15,20
Cutting Wrap,Cutting Wrap,42,32,23.80952381,10,13.80952381
DABUR SARSON AMLA 40ML,DABUR SARSON AMLA 40ML,10,8.5,15,10,5
DABUR SARSON AMLA 80ML,DABUR SARSON AMLA 80ML,19,17,10.52631579,5,5.526315789
Dhaga Mishri,Dhaga Mishri,80,60,25,10,15
Disposial Glass,Disposial Glass,35,22,37.14285714,15,22.14285714
Disposial Koli,Disposial Koli,25,15,40,20,20
Ganga Hanger Plastic,Ganga Hanger Plastic,115,78,32.17391304,15,17.17391304
Imli 250gm,Imli 250gm,20,10.75,46.25,20,26.25
Jali no.8,Jali no.8,18,10,44.44444444,20,24.44444444
Jali no.9,Jali no.9,20,11,45,20,25
Jar 1 Ltr,Jar 1 Ltr,150,99,34,15,19
Jar 1.5 Ltr,Jar 1.5 Ltr,110,66,40,20,20
Jot batti,Jot batti,5,3,40,20,20
Mah Sabat,Mah Sabat,110,85,22.72727273,10,12.72727273
Masale Dani,Masale Dani,75,50,33.33333333,15,18.33333333
Masar Dal,Masar Dal,105,87,17.14285714,9,8.142857143
Mayur Suji Rus 150gm,Mayur Suji Rus 150gm,18,15,16.66666667,9,7.666666667
Milk Seviaan,Milk Seviaan,9,4.16,53.77777778,25,28.77777778
MIX BHUJIA 270GM,MIX BHUJIA 270GM,42,32,23.80952381,10,13.80952381
Modren mop,Modren mop,100,75,25,10,15
Moti ilechi,Moti ilechi,198,150,24.24242424,12,12.24242424
Nalle ,Nalle ,10,6.5,35,15,20
Noor jhaa Mehndi,Noor jhaa Mehndi,150,100,33.33333333,13,20.33333333
Patra Bathroom,Patra Bathroom,100,80,20,10,10
Rajmah Jamu,Rajmah Jamu,76,68,10.52631579,5,5.526315789
Rama 15ltr,Rama 15ltr,1470,1320,10.20408163,5,5.204081633
Rang Kaat 100gm,Rang Kaat 100gm,28,17.5,37.5,15,22.5
RING SNAKS,RING SNAKS,25,16,36,15,21
Royal Gold Sirka,Royal Gold Sirka 750ml,25,9.17,63.32,25,38.32
Russia B,Russia B,90,52,42.22222222,20,22.22222222
Russia S,Russia S,34,17,50,25,25
Simple Pounne ,Simple Pounne ,18,13,27.77777778,13,14.77777778
Stand Brush 4cone,Stand Brush 4cone,99,40,59.5959596,25,34.5959596
Stand brush Simple,Stand brush Simple,10,7,30,15,15
Steel Poni Optra ,Steel Poni Optra ,25,17,32,15,17
Sugar L simple,Sugar L simple,43,41.5,3.488372093,2,1.488372093
Suger L,Suger L,43,41.5,3.488372093,2,1.488372093
Teacher Lighter,Teacher Lighter,60,30,50,25,25
Tiger Dustbin,Tiger Dustbin,63,40,36.50793651,15,21.50793651
Til Oil 1ltr,Til Oil 1ltr,165,88,46.66666667,15,31.66666667
Toilet Brush,Toilet Brush,50,35,30,15,15
Tray Aurus Small,Tray Aurus Small,75,48,36,15,21
Tray Carnival small,Tray Carnival small,60,38,36.66666667,15,21.66666667
Tray Carniwal medium,Tray Carniwal medium,120,66,45,20,25
Tray welcome small,Tray welcome small,55,34,38.18181818,18,20.18181818
trigo tc,trigo tc,50,30,40,20,20
tringo supreme1 kg,tringo supreme1 kg,47,37,21.27659574,10,11.27659574
Victor Mop,Victor Mop,240,110,54.16666667,20,34.16666667
Wiper Activa,Wiper Activa,120,85,29.16666667,15,14.16666667
